Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Early Perfection 174 (H112-2)|Gallatin Valley Seed Company|Gallatin Valley Seed Company|high quality Early Perfection canning pea; S1; smaller sieve size (average 4.20) than Early Perfection 169.|Early Perfection 169.|all pea areas. 1960.|common pea mosaic, common wilt.|
Early Snap (XP226)|G.Marx.|New York Agric. Exp. Sta.|fleshy edible-podded pea, about 3-3.25' long, vine height 18-22', maturity 18-14 days earlier than Sugar Snap.|Sugar Snap. 1982.||bean yellow mosaic virus.|
Early Sweet 11|Associated Seed Growers, New Haven, Connecticut.|Associated Seed Growers, New Haven, Connecticut.|small berried; vigorous; suitable for canning.|Early Sweet. 1955.||fusarium wilt.|White Wonder x Surpass.
Early Sweet 20 (XP ES 20)|Asgrow Seed Co.|Asgrow Seed Co.|earlier, shorter vine than Lark.||general. Asgrow Processor Catalog. 1970.||
Early Sweet 41|Pure Line Seeds, Inc. PVP 8500042.|Pure Line Seeds, Inc. PVP 8500042.|||||
Early Sweet 414 (XP 8504148)|Tom McBride.|Seminis-Asgrow.|second early, normal foliage, large sieve freezer with high yield, no splitting of berries.|EF 680.|northeastern, mid-Atlantic U.S. and Canada. 2001.||open pollinated.
Early Sweet 5|Pure Line Seeds.|Pure Line Seeds.|58 day maturity, pods single, 2.75' long, light green and blunt; vine 28-30' long; light green and intermediate; first blooms on tenth node.|Alsweet, Double A-15, Sweet 4683.|universal. 1952.|fusarium wilt.|selection from Alsweet.
Early Sweet 9|Novartis Seeds, Inc. PVP 8100110.|Novartis Seeds, Inc. PVP 8100110.|||||
Early Sweet A-45 DP (B68)|Crites-Moscow Growers.|Crites-Moscow Growers.|double podding and smaller sieve size than A-45.|A-45.|wide. 1952.|common wilt.|
Early Wales (38)|Gallatin Valley Seed Co.|Gallatin Valley Seed Co.|midseason, large berried canner.|Prince of Wales.|all pea areas. 1938.|common wilt.|
Eclipse (Ex 8500017)|Seminis Vegetable Seeds-Asgrow.|Seminis Vegetable Seeds-Asgrow.|late maturity, medium sieve, normal foliage, starchless, short erect plants.|Marlis.|worldwide. PVP 9800121.|Fusarium.|
