Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Lassen|Sacramento Valley Milling, Inc., Ordbend, CA.|Sacramento Valley Milling, Inc., Ordbend, CA.|White kidney seed, same maturity and plant type as Sacramento. 1985.||||mutant of Sacramento.
Le Baron (LB-4803, LB-2111 and USRM-11)|Washington Agri Research Center, the Idaho and Oregon Agric. Expt. Stn. and the USDA-ARS.||growth habit varies from upright (Type IIa) to floppy (Type IIIa); early maturing small red dry bean.|Rufus, but with higher yield, and shinier and larger seeds; comparable canning quality to both Rufus and NW-63. Crop Sci. 40:853, 2000. 1998.||BCMV and curly top virus.|selection from germplasm line ARS-R93008.
Luna (N.M. 57-386)|New Mexico Agric. Expt. Stat., University Park.||Pinto type, high yield.|San Juan.|southern New Mexico. Agric. Expt. Stat. Bull. 478, New Mexico State Univ., 1963. 1962.|New Mexico rust races.|Golden Gate Wax, UI-123, Pinto selection 4, UI-78.
Mackinac (N93296)|Michigan Agri Expt Stn. and USDA-ARS.||upright indeterminate (Type II), mid-season maturity, excellent resistance to lodging; ovoid navy bean with uniform color and size and rated with good cooking quality.|||rust; I gene for BCMV, Co-1 gene for anthracnose; tolerance to white mold. 1997.|N90435 / Avanti.
Marquis (D82166)|Rogers Seed Co., Nampa, Idaho.|Rogers Seed Co., Nampa, Idaho.|Great Northern, type IIIb growth habit, moderately late.|||BCMV (Ibc genes). 1993.|
Matterhorn (G93414)|Michigan Agric. Expt. Stn. and USDA-ARS.||short-vine indeterminate growth habit (Type II), early to mid season maturity, brighter white color and sheen than Alpine and above average canning quality.|||I gene resistance to BCMV, Ur-3 rust resistance, susceptible to anthracnose and common blight, low level tolerance to white mold. Crop Sci. 39:589, 1999. 1998.|Alpine / X90012.
Maverick (88-048-03)|North Dakota Agric. Exp. Stat.||Pinto bean, medium-early maturity, semi-prostrate type IIIa plant habit.|||rust (Ur-3). 1996.|Fiesta/Black Magic//8313229//CO81-12034/T295 (MSU).
Mayflower (MSU#N84024)|Michigan Agric. Exp. Stat. and USDA-ARS.||Navy bean, type II upright and short vine plant habit.|||BCMV (I gene), rust, beta and gamma races of anthracnose; tolerant to ozone pollution. Crop Sci. 29:1571-1572, 1989. 1987.|Nep-2/Black Turtle Soup//2W-33-2/3/C-20.
McHale (XP387)|Seminis Vegetable Seed.||navy bean type, semideterminate, good grain and yield.|||BCMV (I gene). 1999.|
Mecosta|USDA-ARS and Michigan Agric. Exp. Stat., MI.||Light red kidney, type I growth habit, tolerant to halo blight.|||BCMV. 1974.|Great Northern #1/Manitou.
Michelite|||late maturing, nonuniform ripening, and 50% susceptible to BCMV (2).||||
Michelite 62|USDA and Michigan State Univ., East Lansing.||full season, uniform maturing vine type pea bean.|||BCMV (1). 1963.|selection from Michelite.
Midland (T7901)|Seminis Vegetable Seeds.|Seminis Vegetable Seeds.|Navy bean, type I bush growth habit; very good yield and quality.|Seafarer. 1983.||BCMV (I gene), tolerant to air pollution.|Seafarer/74 F1-2 line.
Midnight|New York State College of Agric. and Life Sciences, Cornell Univ., Ithaca, NY.||black seed, upright type IIa growth habit, large basal root system.||wide in US. 1980.|lodging, BCMV; moderately resistant to Fusarium solani root rot and Pythium ultimum damping off diseases; some plant avoidance of white mold.|composite of 3 NY lines (70001, 70002, and 70003) from single plant selections made in 25 germplasm lines (CIAT, Cali, Colombia, SA).
Mita (76-R287)|USDA and Agric. Exp. Stat., Univ. of Puerto Rico.||Black bean.|||multiple diseases. 1979.|15R-55/Mex 309.
