Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Cariboo|Canada Department of Agric., Fredericton, N.B.||pink eyes with some pink splashing at eye end of tuber.||British Columbia, Canada. American Potato Journal 45:247-249, 1968.|phoma rot, verticillium wilt, common scab.|SSRPB 1256A (23) (Black) x K113-1 (Krantz).
Carlton (FS6222)|Russell et al., Ag. Canada, Saskatchewan, New Brunswick, Alberta.||medium yield of oblong, white tubers; early maturity, good for tablestock, low tuber solids.||prairie provinces of Canada, valid 1996. American Potato Journal 60:599. 1982.|PVX.|F47024 x F55069.
Cascade (WN48-1)|Hoyman, Washington State University.||high yield of oblong, white tubers; medium maturity, good for tablestock, french fries, medium tuber solids.||produced primarily in the upper midwest of the United States, valid 1996. American Potato Journal 47:261. 1969.|net necrosis caused by pea leaf roll virus, verticillium wilt.|B3820-14 x PI 214372.
Castile (B7592-1)|Webb, Sieczka, USDA, Cornell University.||high yield of oblong, white tubers; late maturity, good for tablestock, french fries, medium tuber solids.||produced primarily in New York, valid 1996. American Potato Journal 68:453. 1991.|golden nematode, corky ringspot, pinkeye, fusarium tuber rot.|Peconic x F107-30.
Catoosa (TL6279)|Dykstra; USDA, University Tennessee, Louisiana State University.|USDA Louisiana Agric. Expt. Sta., Baton Rouge and Tennessee Agric. Expt. Sta., Knoxville.|extinct; high yield of oval, red tubers; medium maturity, good for tablestock, low tuber solids.|Pontiac.|southern states. American Potato Journal 38:300-303, 1961.|common scab, late blight, R-gene.|seedling selection from TL 1859 selfed TL 1859 is derived from cross of Red Pontiac x USDA-seedling X96-56.
Cayuga|USDA, Beltsville, Maryland and Cornell University, Ithaca, New York.||russet skin, shallow eyes, high quality.||regionally, central New York. American Potato Journal 23:315-329, 1946. 1945.|scab and some resistance to fusarium wilt, late blight.|Hindenburg x Katahdin.
Centennial Russet (WNC285-146)|Twomey, Hoyman, Colorado State University, USDA.||medium yield of oblong, heavily russetted tubers; medium maturity, good for tablestock, medium tuber solids, long dormancy.||produced primarily in Colorado, southern California, valid 1996. American Potato Journal 54:603. 1976.|fusarium tuber rot.|Nooksack x WN12-3.
Century Russet (A74212-1E)|Mosley, Pavek, Oregon State University, USDA.||high yield of long, russet tubers; late maturity, good for tablestock, medium solids, medium dormancy.||produced primarily in Oregon, Texas, valid 1996. 1995.|verticillium wilt, common scab.|A6789-7 x A6680-5.
Chenango|Cornell University, Ithaca, New York.||early maturity, tubers smoother than Irish Cobbler.||restricted to valleys in central New York. American Potato Journal 24:331-335, 1947. 1946.|late blight.|United States seedling 46110 x BXS-1, BXS-1 Solanum demissum derivative.
Cherokee|USDA, Beltsville, Maryland; released jointly by USDA, Iowa State College, and Purdue University.||medium early.||muck soils of Iowa, Indiana, and Minnesota. American Potato Journal 31:53-58, 1954. 1953.|scab, late blight, mild mosaic, net necrosis.|USDA seedling 96-56 x USDA 528-170.
Chieftain (Ia 57410-10)|Iowa State University, Ames.|Certified Potato Seed Growers.|oval shaped tubers with less depth than width; bright red skin color.||north central and southern United States. American Potato Journal 45:293-296, 1968.|moderate to scab and moderate field resistance to late blight.|La 1354 x Ia 1027-18.
Chinook (F4775)|Canada Agric. Research Sta., Lethbridge, Alberta, and Fredericton, N.B., Canada.|Res. Sta., Lethbridge.|feathered to lightly russetted skin, midseason maturity, good cooking and processing quality.||irrigated areas of western Canada. American Potato Journal 43:1-5, 1966.|common scab.|USDA X96-56 x Menominee.
Chipbelle (B6987-148)|Webb, USDA, University Florida, Michigan State University.||medium yield of round, white tubers; late maturity, good for chips, not in production. 1981.||||Wauseon x B5141-6 (Lenape).
Chipeta (AC80545-1)|Holm, Pavek, Colorado State University, USDA, University Idaho.||high yield of round, white tubers; late maturity, good for chips, high tuber solids, long dormancy.||produced primarily in the western United States, valid 1996. 1993.|verticillium wilt, net necrosis caused by pea leaf roll virus, early blight.|WNC612-13 x Wischip.
Chippewa (USDA 42672)|Clark, USDA.||high yield of oblong, white tubers; early maturity, good for tablestock, chips, low tuber solids.||muck soils, produced primarily in the northeastern United States, valid 1996. American Potato Journal 8:121. 1933.|net necrosis caused by pea leaf roll virus; immune to PVX.|USDA 40568 x USDA 24642.
Chisago|Minnesota Agric. Expt. Sta., Saint Paul, Minnesota.||early, round white, excellent tuber type.||widely for early maturity. American Potato Journal 26:264-269, 1949.||Irish Cobbler x MN13-1 [Russet Burbank 66-1 (Katahdin selfed)].
Coastal Chip (B9792-157)|Haynes et al., USDA, Rutgers University, Correll University.||not in production; medium yield of oval, white tubers; medium-late maturity, good for chips, medium tuber solids, short-medium dormancy.||mid Atlantic United States. American Potato Journal 69:515. 1990.|PVA, golden nematode, heat necrosis.|Wauseon x B5141-6 (Lenape).
Coastal Russet (B9596-2)|Sieczka, Webb, Wilson, Cornell University, USDA, University Florida.||high yield of long, russet tubers; medium maturity, good for tablestock, low tuber solids, short-medium dormancy.|||net necrosis caused by pea leaf roll virus, common scab. Produce primarily in Atlantic Canada, northeastern United States, valid 1996. American Potato Journal 65:407. 1988.|Russet Burbank x B8281-5.
Columbia Russet|Scott, private.||not in production; medium-high yield of oblong, russet tubers; early-medium maturity.|||common scab. USDA Circ. 741, 1946. 19. 19.|open pollinated seedling of Wee McGregor.
Conchita|Rockefeller Foundation, Mexico City, Mexico.|Rockefeller Foundation, Mexico City, Mexico.|medium maturity, tubers white skinned and yellow fleshed, oblong.||central Mexico, 1959.|high field resistance to late blight.|seedling from self pollination of a selection of USDA Acc. 25953 x USDA Acc. 25959.
Conestoga (G712-1)|Johnston et al., Ag. Canada, University Guelph.||medium yield of oblong, white tubers, very early maturity, good for tablestock, chips, medium tuber solids.||produced primarily in the upper midwest of the United States, the prairie provinces of Canada, valid 1996. American Potato Journal 60:193. 1982.|net necrosis caused by pea leaf roll virus, common scab.|G7063 x G6652.
Cortland (NY DFC-1)|Reddick, Cornell.||medium yield of oblong, white tubers; medium maturity, good for tablestock.|||late blight, R-gene. Extinct. American Potato Journal 27:1. 1947.|Unnamed seedling x Menominee.
Crystal (ND8891-3)|Johansen, North Dakota St. University.||not in production; medium yield of oval, white tubers; medium maturity, good for chips, medium tuber solids.|||PVX, common scab. American Potato Journal 59:131. 1980.|Cascade x ND7196-18.
Cupids|Proudfoot, Ag. Canada, Newfoundland.||not in production; high yield of oval, lightly russetted tubers with light yellow flesh; medium-late maturity, good for tablestock, medium tuber solids.|||golden nematode. Potato Varieties in Canada, 1991. New Brunswick Department of Agric. 1986.|N150-3 x Wauseon.
Dakchip (ND8888-2)|Johansen et al., North Dakota St. University.||not in production; medium-high yield of round, white tubers; medium maturity, good for chips, medium tuber solids, short dormancy.|||late blight, R-gene. American Potato Journal 57:567. 1979.|Cascade x Norchip.
Dakota Chief (Red Pontiac)|H.D. Long and Son, Park River, North Dakota.|H.D. Long and Son, Park River, North Dakota.|redder tuber skin than Triumph or Pontiac.|Pontiac.|most potato areas, 1947.|drought.|sport out of Pontiac 1941-2.
Dazoc|Hort. Department, University of Nebraska, Agric. Expt. Sta., Lincoln.|Hort. Department, University of Nebraska, Agric. Expt. Sta., Lincoln.|dark red, very early tubers, smoother and of better culinary quality than Red Warba; commercially accepted in irrigated areas of central Nebraska. National Potato Breeding 23 Annual Report p.161. 1953.||||Triumph (Nebraska Str. 22) x Nebraska 49.40-3 (Minnesota 5-10-3-23-2 x Minnesota 29.32-1-3-4).
Delta Gold (USDA 47156)|Reeves, Webb, USDA, University Maine.||not in production; high yield of round, white tubers with yellow flesh; medium-late maturity, good for tablestock, medium tuber solids, short dormancy.|||immune to PVA, net necrosis caused by pea leaf roll virus. American Potato Journal 57:429. 1979.|Earlaine x USDA 45208.
Delus (B73-18)|F.J. Stevenson, R.V. Akeley, and E.P. Brasher, USDA, Beltsville, Maryland, and Delaware Agric. Expt. Sta., Newark.||attractive appearance and high solid content.|Katahdin. American Potato Journal 31:410-413, 1954.||late blight.|Mohawk x USDA seedling X96-56.
Denali (AK37-68-19-70)|Dearborn, USDA, University Alaska.||not in production; high yield of oblong, white tubers; late maturity, good for tablestock, chips, high tuber solids, long dormancy.||wide. American Potato Journal 56:373. 1978.||B5141-6 (Lenape) x AK1-62-90-64.
DeSota|Miller, Louisiana State University.||vigorous, upright plants, small leaves, medium early; red to pinkish-red tubers, round with medium deep eyes.|Triumph.|western, mid-western, and southern United States and California. American Potato Journal 25:89-91, 1948.|mild mosaic.|Triumph x Katahdin.
DeSota|Miller, Louisiana State University.||extinct; high yield of oval, early-medium maturity, good for tablestock, vigorous, upright plants, small leaves, red to pinkish-red tubers, round with medium deep eyes.|Triumph.|western, mid-western, and southern United States and California. American Potato Journal 25:89-91. 1944.|PVX.|Triumph x Katahdin.
Donna (F74123)|Young et al., Ag. Canada, New Brunswick.||not in production; high yield of oblong, white tubers with yellow flesh; medium-late maturity, good for tablestock, medium tuber solids, short dormancy, bred for export.|||PVX, golden nematode, verticillium wilt. American Potato Journal 65:509. 1986.|Raritan x Agitato.
