Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Red Norland -||Similar:|see Norland.|Resistance:|produced throughout the United States, Canada, valid 1996.|Parentage:|Parentage
Red Pontiac -||Similar:|see Pontiac, used as a garden cultivar throughout the United States, Canada, valid 1996.|Resistance:||Parentage:|Parentage
Red Ruby (MN13035)|Lauer, University Minnesota.||||||Bison x MN11.76-1. 1994.
Red Warba|Minnesota Agric. Expt. Sta., Saint Paul.||extra early, round, red type; short season adaptation, or for early market use. American Potato Journal 16:7.||||mutation from Warbs.
Redbake (Nebraska 2644-1)|Werner, University Nebraska.||extinct; tubers are round with red skin, medium maturity, good for tablestock, chips, high tuber solids. Potato Handbook, 1959. Potato Assoc. of Amer. 1956.||||Nebraska 10.42-1 x Nebraska 1.41-2.
Redburt|Obert Grover, Glyndon, Minnesota, and University of Minnesota, Saint Paul.||smooth, red skinned; high yield.|LaSoda.|wide. American Potato Journal 30:8, 1953.||Satapa sport.
Reddale (MN8757)|Lauer, University Minnesota.||high yield of round, red tubers; medium maturity, good for tablestock, low tuber solids.||produced primarily in Minnesota, valid 1996. Potato Varieties in Canada, 1991. New Brunswick Department of Agric. 1984.|common scab, verticillium wilt, late blight, R-gene.|Erik x Chieftain.
Redglo|Department of Hort., University of Nebraska, Agric. Expt. Sta., Lincoln.|selected seed growers in western Nebraska.|dark red tubers, medium to large, medium to late, intermediate dry matter.||western Nebraska, late crop irrigated and dry land. 1954.||segregate from North Dakota cross 176 (Pontiac x 11-1-3-2) x Nebr. 49.40-2 (Minnesota 5-10-3-23-2 x Minnesota 29.32-1-34).
Redkote|Ben Picha, Grand Forks, North Dakota.|Ben Picha, Grand Forks, North Dakota.|rosy red color, very smooth, high uniformity of tubers without oversize.|Red Pontiac.|mid-central states.|internal browning, scab resistant.|116-10 x Pontiac (116-10 is 528-229).
Redsen (ND146-4R)|Johansen et al., North Dakota State University.||medium-high yield of round, dark red tubers; early-medium maturity, good for tablestock, low tuber solids, short dormancy.||produced in limited locales throughout the United States, Canada, valid 1996. American Potato Journal 61:549. 1983.|common scab, late blight, R-gene, very susceptible to storage rots.|ND8978-3R x ND9403-20R.
Redskin|USDA, Beltsville, Maryland.|USDA and Texas Agric. Expt. Sta., College Station, Texas.|high yield, red skin, late maturity.||wide. 1960.|scab, virus A, net necrosis from leaf roll.|Pontiac x USDA seedling B400-1.
Reliance (F29-1)|USDA.|Ben Picha, Grand Forks, North Dakota.|early as Clobber, high yielding and delayed sprouting.||wide. 1963.|late blight, scab, X immune.|early Gem x Tawa.
Rhinered (W729R)|Peloquin, University Wisconsin.||not in production; medium yield of round, red tubers; early-medium maturity, good for tablestock, medium tuber solids.|||common scab, verticillium wilt. Potato Varieties in Canada, 1991, New Brunswick Department of Agric. 1981.|W639 x Norchief.
Rideau (G6457-5R)|Johnston and Rowberry, Ag. Canada, Ontario.||medium-high yield of round red tubers; late maturity, good for tablestock, low tuber solids.||produced primarily in Atlantic Canada, valid 1996. American Potato Journal 57:47. 1971.|verticillium wilt, common scab.|Viking x Picha 177-13R.
Rosa (NY61)|Plaisted et al., Cornell University.||not in production; high yield of oval, white-splashed pink tubers; late maturity, good for chips, tablestock, medium tuber solids, medium dormancy.|||golden nematode, late blight, R-gene. American Potato Journal 58:451. 1981.|Wauseon x J171-8Adg.
Rose Gold (G7010-19RY)|Coffin et al., Ag. Canada, Ontario.||not in production; medium yield of round, red tubers with yellow flesh; medium-late maturity, good to tablestock, medium tuber solids, medium dormancy.|||common scab. American Potato Journal 65:325. 1988.|Abnaki x G6521-4RY.
Rukat|W.P. Raleigh, Clyde, Kansas.|Arthur J. Pratt.|purple in stems, rural type foliage.|Rural. 1954.||misshapen tubers, susceptible to hollow heart and scab.|Russet Rural x Katahdin.
Rural New Yorker|Carman, private.||extinct; high yield of oblong, white tubers; late maturity, good for tablestock. USDA Circ. 741, 1946. 1988.||||
Rushmore|Louisiana State University, Baton Rouge.|Melvin Rominsky, Rhinelander, Wisconsin.|bright russet color; an oblong, flat potato, sprouts green.|Burbank.|northern tier of United States to south if irrigated. American Potato Journal January or February, 1957.||Katahdin x Green Mountain.
Russet Arenac|Thompson, University Michigan.||not in production; see Arenac. 1965.||||russetted sport of Arenac.
Russet Bake-King|Lawrence, Cornell University.||not in production; see Bake-King. American Potato Journal 71:127. 1994.||||russetted sport of Bake-King.
Russet Burbank|Sweet, private.||the predominant cultivar in the United States and Canada for tablestock, french fries, see Burbank for more information. USDA Circ. 741, 1947. about 1917.||||russetted sport of Burbank.
Russet Norkotah (ND1534-4Russ)|Johansen et al., North Dakota State University.||medium-low yield of long, russet tubers; very early maturity, good for tablestock, low tuber solids, medium dormancy, most prominent of the early russet tablestock cultivars, valid 1996.||produced throughout the United States, Canada, valid 1996. American Potato Journal 65:597. 1987.|common scab, very susceptible to verticillium wilt.|ND9526-4Russ x ND9687-5Russ.
Russet Nugget (TC582-1)|Holm et al., Colorado State University, Texas A and M University.||medium-high yield of long, flattened, heavily russetted tubers; late maturity, good for tablestock, french fries, high tuber solids, medium dormancy.||produced primarily in Colorado, valid 1996. American Potato Journal 69:331. 1989.|common scab, verticillium wilt, early blight.|Krantz x AND71609-1.
Russet Rural|unknown.||see Rural New Yorker. USDA Circ. 741, 1946.||||Unknown.
Russet Sebago|University of Wisconsin, Madison.||russet tuber.|Sebago.|north central adaptation, 1947.|common scab and late blight.|clonal selection out of Sebago.
Russette (B7583-6)|Webb et al., USDA, University Maine, others.||not in production; high yield of oblong, russet tubers; late maturity, good for tablestock, french fries, medium tuber solids, long dormancy.|||verticillium wilt, pinkeye, heat necrosis; immune to PVA, necrosis caused by pea leaf roll virus. American Potato Journal 61:77. 1981.|B5141-6 (Lenape) x WN245-2.
Sable (F5653)|Davies et al., Ag. Canada, New Brunswick.||not in production; high yield of oblong, white tubers; early maturity, good for tablestock, low tuber solids.|||common scab. American Potato Journal 43:154. 1964.|F52094 x F47024.
Saco|USDA, Beltsville, Maryland, and the Maine Agric. Expt. Sta., Orono.||high yield and dry matter content, more rough than some new cultivars.|Green Mountain and Kennebec. American Potato Journal, 1955.||immune from virus X, mild mosaic, and common race of late blight fungus; possibly immune to net necrosis.|USDA seedlings 41956 x X96-56.
Saginaw Gold (MS002-171Y)|Coffin et al., Ag. Canada, University Michigan, others.||not in production; medium yield of oblong, white tubers with yellow flesh; medium maturity, good for tablestock, chips, medium tuber solids. American Potato Journal 66:303. 1988.||||MS321-38 x Michibonne.
Sangre (AC67560-1)|Twomey et al., Colorado State University USDA.||high yield of oval, red tubers; medium maturity, good for tablestock, medium tuber solids, long dormancy.||produced primarily in Colorado. American Potato Journal 59:435. 1982.|net necrosis caused by pea leaf roll virus, hollow heart.|Viking x A6356-9.
Saranac (USDA X336-144)|Stevenson and Livermore, USDA, Cornell University.||extinct; tubers round and white, late maturing, good for tablestock.|||ring rot. American Potato Journal 26:45. 1949.|President x Katahdin.
Satapa|Minnesota Agric. Expt. Sta., Saint Paul.||medium-early, red, exceptionally round, smooth tubers, upright vine.||general. American Potato Journal 26(7), 1949.|in field to virus X.|Red Warba x 20-4.
Sebago|USDA.||good market and cooking quality.||Florida, Alabama, South Carolina. USDA Cir. 503, November, 1938.|late blight, mild mosaic, net necrosis, yellow dwarf.|Chippewa x Katahdin.
Seminole (B4469-7 or FL282)|Stevenson et al., Frito-Lay.||extinct; medium-high yield of round, white tubers; early-medium maturity, good for chips, high tuber solids.|||verticillium wilt. American Potato Journal 47:35. 1969.|Delta Gold x B3672-3.
Seneca|Cornell University Ithaca, New York.||high yield, tendency to be rough and produce tubers in chains.||central New York. American Potato Journal 23:315-329, 1946. 1945.|scab and some field resistance to fusarium wilt and late blight.|Hindenburg x Katahdin.
Sequoia|North Carolina Agric. Expt. Sta., Raleigh, N.C., and the USDA.||white tubers, high yielding, good market quality.||North Carolina and Tennessee. American Potato Journal April, 1945.|late blight, leaf hopper burn, flea beetle injury.|Green Mountain x Katahdin.
Shasta (SH-1)|Groza, private.||not in production; high yield of long, white tubers; late maturity, good for french fries, tablestock, medium tuber solids, short dormancy.|||verticillium wilt, early blight. Potato Varieties in Canada, 1991, New Brunswick Department of Agric. 1990.|A69656-4 x WNC214-36.
Shepody (F69016)|Young et al., Ag. Canada, New Brunswick.||high yield of long, white tubers; early-medium maturity, good for french fries, medium tuber solids, medium dormancy.|||net necrosis caused by pea leaf roll virus, predominant cultivar for early harvest french fry production in the United States, Canada, valid 1996. American Potato Journal 60:109. 1980.|Bake-King x F58050.
Sheridan|Department of Hort., Agric. Expt. Sta., University of Nebraska, Lincoln.|Department of Hort., Agric. Expt. Sta., University of Nebraska, Lincoln.|medium red, round, early tubers of good culinary quality, much smoother and higher dry matter than Red Warba; proven in late irrigation area of western Nebraska. 1953.||||Triumph (Nebraska Str. 22) x Nebraska 49.40-3 (Minnesota 5-10-3-23-2 x Minnesota 29. 32-1-34).
Shoshoni (A175-7)|Sanford et al., USDA, University Idaho.||not in production; medium yield of round, white tubers; late maturity, good for tablestock, medium tuber solids.|||common scab. American Potato Journal 41:95. 1963.|Early Gem x B2913-24.
Shurchip (Nebraska 1655-1)|OKeefe, University Nebraska.||high yield of round, lightly russetted tubers; medium maturity, good for chips, medium tuber solids, medium dormancy.||produced primarily in Nebraska, valid 1996. American Potato Journal 47:124. 1969.|common scab.|Nebraska 226.49-1X x Nebraska 25.47-7x.
Sierra (AD7377-1)|Voss and Pavek, University California, USDA.||not in production; high yield of oblong, russet tubers; medium maturity, good for tablestock, low tuber solids.|||common scab, net necrosis caused by pea leaf roll virus, hollow heart, growth cracks. University California, Research Reviews 17, 1986. 1987.|A66110-39 x Targhee.
Simcoe (G6880-1)|Johnston and Rowberry, Ag Canada, Ontario.||not in production; medium yield of round, white tubers; late maturity, good for tablestock, chipping, medium tuber solids.|||PVA, late blight, R-gene, net necrosis caused by pea leaf roll virus. American Potato Journal 59:39. 1981.|Peconic x B5141-6 (Lenape).
Sioux (Nebraska 20257-1)|OKeefe, University Nebraska.||extinct; medium-high yield of round, red tubers; medium maturity, good for tablestock, medium tuber solids, medium dormancy.|||common scab. American Potato Journal 47:163. 1969.|Nebraska 240.54-1 x Nebraska 90.49-1X.
Snowchip (AK35)|Dearborn, University Alaska.||not in production; medium yield of oval, white tubers; medium-late maturity, good for chips, high tuber solids. American Potato Journal 52:47. 1973.||||Ontario x Stately.
Snowden (W855)|Peloquin, University Wisconsin.||medium-high yield of round, white tubers; late maturity, good for chips, high tuber solids, medium dormancy.|||moderate to common scab, produces acceptable chips follow cold storage, predominant storage chipping cultivar since 1993, valid 1996. Potato Varieties in Canada, 1991. New Brunswick Department of Agric. 1990.|B5141-6 (Lenape) x Wischip.
Snowdrift|Cornell University, Ithaca, New York.||early maturity, smooth tubers.||central New York. American Potato Journal 27:1-10, 1950. 1947.|late blight.|ATY-4 x Earlaine.
Snowflake (ND 3324-2)|North Dakota State University.||early, high specific gravity.|Kennebec. American Potato Journal vol. 40 August, 1963 and North Dakota Farm Res. vol. 21, 1961.||virus Y in field.|Kennebec x ND 457-1.
Somerset (AF236-1)|Reeves et al., University Maine, University Pennsylvania.||medium-high yield of oblong, white tubers; medium maturity, good for chips, medium tuber solids, medium dormancy.||produced primarily in the northeastern United States, valid 1996. American Potato Journal 67:153. 1988.|early blight, late blight, R-gene.|B6097-9 x B6516-5.
Spartan Pearl (MS700-83)|Douches et al., Michigan State University.||not in production; high yield of round, white tubers; medium maturity, good for tablestock, medium tuber solids, medium dormancy. American Potato Journal 69:785. 1991.||||Atlantic x Michibonne.
St. Johns (AF828-5)|Reeves, University Maine.||medium-high yield of round, white tubers; late maturity, good for tablestock.||produced primarily in Maine, valid 1996. 1993.|golden nematode, corky ringspot.|BR6317-21 x CC14-3A.
St. Louis|G.A. Johnson, Hermantown, Minnesota.|G.A. Johnson, Hermantown, Minnesota.|probably no longer available. 1943.||||
Stately (A-43-10)|Dearborn, Alaska Agr. Expt. Sta., Palmer.||extinct; low yield of round, white tubers; late maturity, good for tablestock, high tuber solids, released as a home garden cultivar for Alaska; high dry matter, excellent baking or mashing.|Alaska 114. American Potato Journal 38:244. 1961.|||Alaska 114 x X792-94.
Steuben (NY81)|Plaisted et al., Cornell University.||not in production; high yield of oblong, white tubers; medium maturity, good for tablestock, chips, medium tuber solids, long dormancy.|||golden nematode. American Potato Journal 67:239. 1989.|F9-31 x GN bulk pollen.
Suncrisp (B9792-8B)|Haynes et al., USDA, University Florida, others.||not in production; medium-high yield of oval, lightly russetted tubers; late maturity, good for chips, high tuber solids.|||golden nematode, common scab, PVY, heat necrosis. 1993.|Wauseon x B5141-6 (Lenape).
Sunrise (CF7358-14)|Reeves et al., University Maine, Campbell Institute.||high yield of round, white tubers; early maturity, good for tablestock, field delivery chip production, low-medium tuber solids, medium dormancy.||produced primarily in northeastern United States, Atlantic Canada, valid 1996. American Potato Journal 62:221. 1985.|golden nematode, PVX, net necrosis caused by pea leaf roll virus.|Wauseon x B6563-2.
Superior (AG29)|Rieman, University Wisconsin.||medium yield of round, white tubers; early maturity, good for tablestock, field delivery chip production, low-medium tuber solids, short dormancy.||produced throughout the midwestern, eastern regions of the United States, Canada, valid 1996. American Potato Journal 39:19. 1961.|common scab, predominant early maturing, round white tablestock cultivar.|USDA X96-56 x MN59.44.
Targhee (A6334-19)|Pavek et al., USDA, University Idaho.||not in production; high yield of oblong, russet tubers; late maturity, good for tablestock, french fries, medium tuber solids, medium dormancy.|||rhizoctonia, common scab, verticillium wilt, PVX, storage rots, hollow heart, growth cracks. American Potato Journal 50:293. 1973.|Norgold Russet x A463-4.
Tawa|Iowa State College, Ames.|Ben Picha and Starks Farms.|early as Irish Cobbler, very smooth and uniform, never tough, high quality.||all northern potato growing areas. 1957.|scab, late blight, virus X immune.|B595-76 x B76-23.
Tejon (NDD47-1)|Voss, University California.||high yield of long, white tubers; late maturity, good for tablestock, medium tuber solids, long dormancy.||produced primarily in California, valid 1996. University California Research Reviews 17, 1986. 1987.|storage rots, verticillium wilt, early blight.|B7583-9 x AF10-8.
Teton|Maine Agric. Expt. Sta., Orono, and the Wyoming Agric. Expt. Sta., Laramie, and the USDA.||white tuber, round to oblong, high yield, good market and cooking quality.||Maine, New York, and Wyoming. American Potato Journal November, 1946.|mild mosaic and ring rot.|USDA seedling 45146 x Earlaine.
Tobique (F61025)|Davies et al., Ag. Canada, New Brunswick.||not in production; high yield of oblong, white-purple splashed tubers; early maturity, good for chips, low tuber solids.|||verticillium wilt, fusarium tuber rot, PVY, net necrosis caused by pea leaf roll virus. American Potato Journal 54:419. 1977.|F45019 x Cariboo.
Tolaas (MN7973)|Lauer, University Minnesota.||not in production; high yield of long, white tubers; medium-late maturity, good for tablestock, french fries, medium tuber solids, long dormancy.|||common scab, late blight, hollow heart. Potato Varieties in Canada, 1991, New Brunswick Department of Agric. 1984.|Shurchip x MN1106.64-1.
Trent (G6549-7)|Johnston and Rowberry, Ag. Canada, Ontario.||not in production; medium yield of round, white tubers; early-medium maturity, good for tablestock, chips, medium-high tuber solids.|||PVY, common scab, late blight, R-gene, net necrosis caused by pea leaf roll virus. American Potato Journal 56:211. 1978.|Nordak x B5141-6 (Lenape).
Triumph|Bliss, private.||extinct; high yield of round, red tubers; early-medium maturity, good for tablestock, historically an important cultivar. USDA Circ. 741, 1946. 1978.||||Peerless x Early Rose.
Ute Russet (WNC285-18)|Holm et al., Colorado State University.||medium yield of oblong, flattened, heavily russetted tubers; late maturity, good for tablestock, medium tuber solids, long dormancy.||produced primarily in Colorado, California, valid 1996. American Potato Journal 64:559. 1987.|sclerotinia, net necrosis caused by pea leaf roll virus, verticillium wilt, common scab.|WN12-3 x Nooksack.
Viking (ND 3815-IR)|North Dakota University, Fargo.||red skin, high yield and quality.|Red Pontiac. North Dakota Farm Research 22(9) January, 1963. 1962.||drought.|Redskin x ND 457-1.
Virgil|Cornell University, Ithaca, New York.||late, heat tolerant.||central New York. American Potato Journal 24:319-336, 1947. 1946.|late blight.|ZH-2 x 15-2, ZH-2 Solanum demissum derivative, 15-2 Krantz seedling.
Waimea (25S)|Sekioka et al., University Hawaii.||extinct; high yield of oval, white tubers; late maturity, good for tablestock, medium tuber solids.||high elevation areas of Hawaii. American Potato Journal 51:229. 1972.||57-AH-9 x Anita.
Warba (MN51-16)|University Minnesota.||high yield of round, white tubers; early maturity, good for tablestock, low tuber solids, a red skinned sport of this cultivar was released and grown as Red Warba.||produced primarily in Atlantic Canada. Minnesota Horticulture 61:137. 1933.|PVA.|Triumph x MN4-16.
Waseca|Minnesota Agric. Expt. Sta., Saint Paul.||extra early, red, good market and table qualities.||regions of short seasons, for early market, on peat land. American Potato Journal 26(7), 1949.||Bliss Triumph x 15-2-10.
Wauseon (B5036-40)|Cunningham et al., Campbell Institute, USDA, Cornell University.||not in production; high yield of round, white tubers; medium-late maturity, good for chips, tablestock, medium tuber solids.|||PVA, PVX, golden nematode, common scab, net necrosis caused by pea leaf roll virus, good canning quality. American Potato Journal 45:146. 1967.|B5149-8 x Katahdin.
White Cloud|Department of Hort., Nebraska Agric. Expt. Sta., Lincoln.|Nebraska Certified Seed Potato Growers Cooperative.|unusual uniformity in shape and size, white tubers, heavy set, high dry matter; suitable generally as an early white potato. 1949.||||Warba x Katahdin.
White Gold (Kramers Early White Gold)|G.F. Kramer, Grand Rapids, Minnesota.|Arrowhead Potato Growers Association, Grand Rapids, Minnesota.|open pollinated very early; high yielding, smooth white potato of excellent quality.|Green Mountain.|wide. 1937.|blight, mosaic.|Green Mountain seed.
White Rose|Chapman, private.||high yield of long, white tubers, deeper eyes, late maturity, good for tablestock, medium tuber solids, long dormancy.||produced primarily in California, valid 1996. Potato Handbook, 1959. Potato Assoc. of Amer. 1993.||Uncertain.
Wischip (W629)|Peloquin, University Wisconsin.||medium-high yield of round, white tubers; good for chips.||produced primarily in Nebraska. 1974.||W55-306-58 x W231.
Wyred (WY2850)|Riedl, University Wyoming.||extinct; high yield of round, red tubers; medium-late maturity, good for tablestock, medium tuber solids.|||common scab. American Potato Journal 45:33. 1968.|Nebraska 127.47-5 x Katahdin.
Yampa|Colorado Agric. Expt. Sta., Fort Collins, and the USDA.|Certified Seed Service.|scab resistance, white, second early, growth crack susceptibility on heavy soils.|Katahdin.|sandy soil areas. American Potato Journal, September, 1949.||
Yankee Chipper (AF205-9)|Reeves et al., University Maine.||not in production; high yield of round, white tubers; medium maturity, good for chips, medium tuber solids, short dormancy.|||golden nematode, PVX, net necrosis caused by pea leaf roll virus. American Potato Journal 61:287. 1983.|Chipbelle x BR6864-8.
Yankee Supreme (CC26-1A)|Reeves et al., University Maine, Campbell Institute.||not in production; medium yield of oblong, white tubers; medium-late maturity, good for tablestock, medium tuber solids, medium dormancy.|||PVX, net necrosis caused by pea leaf roll virus. American Potato Journal 61:683. 1983.|Katahdin x BR6491-7.
York|Canada Department of Agric., Guelph, Ontario.||early maturing, white skinned, high total solids.||organic soils of Ontario, Canada American Potato Journal 47(6), 1970.|field immunity to virus X and common races of late blight; tolerance to common scab and rhizoctonia.|F5348 (Fredericton) x F5569 (Fredericton).
Yukon Gold (G6666-4Y)|Johnston and Rowberry, Ag. Canada, Ontario.||medium-high yield of oval, white tubers, with yellow flesh; early-medium maturity, good for tablestock, medium specific gravity, short dormancy, this cultivar is currently (1996) the predominant yellow-fleshed specialty potato, produced in small amounts throughout North America.|||PVA. American Potato Journal 58:241. 1980.|Norgleam x W5279-4.
