Name|Breeder|Vendor|Characteristics|Similar|Adaptation|Resistance|Parentage
Sawan Slicer|Rogers Brothers.|Rogers Brothers.|maintains dark green color under heat stress, good length under cool conditions, 58-60 day maturity, vigorous vine.|||anthracnose, angular leaf spot, cucumber mosaic virus. 1994.|
SC 19B|W.C. Barnes, Clemson University.||monoecious inbred pickler.|||anthracnose, angular leaf spot, downy mildew, powdery mildew.|
Score (XP 1082)|Asgrow Seed Co.|Asgrow Seed Co.|hybrid, white spined, pickler.|Premier but longer fruit.|general. 1972.|scab, cucumber mosaic virus, angular leaf spot, anthracnose, downy mildew, powdery mildew.|Asgrow inbreds.
Seneca Longbow|Robson Seed.|Robson Seed.|predominantly gynoecious hybrid slicer, high yield, early maturity, long dark green fruit, even under stress.||||
Seneca Trailblazer|Robson Seed / Midwest Seed Growers.||hybrid slicer, dark green fruit, high yield.||||
Seray|Nunhems.|Nunhems.|gynoecious hybrid, parthenocarpic, early, 17-18 cm fruit length, strong vines. 1992.||||
Setter|Abbott & Cobb.|Abbott & Cobb.|predominantly gynoecious hybrid slicer, 8' fruit length.|||angular leaf spot, downy mildew, powdery mildew, scab, cucumber mosaic virus, moderate to anthracnose.|
Shamrock|Iowa State College, Ames.||white spined, sufficient chunkiness to have dual usage as a salter and slicer.|Long Green.|all midwestern United States, northern cucumber areas. 1937.|cucumber mosaic virus.|Davis Slicer x Chinese Long.
Shelby (NC-45)|S.A. Walters and T.C. Wehner.|North Carolina State University.|indeterminate, monoecious inbred, medium green colored vines; fruit are short pickle type with LD 3.0, dark green, medium sized warts, white spines.|Sumter, but shorter fruit.|widely adapted, but developed in the southeastern U.S. 1997.|root knot nematode (Meloidogyne javanica, M. hapla, M. arenaria races 1 and 2), scab, powdery mildew.|NCH1 population (including resistant parental accession LJ 90430) brought to recurrent selection cycle 9, then used to develop S7 inbred.
Shenandoah (FMX 4937)|Ferry-Morse.|Ferry-Morse.|predominantly gynoecious hybrid pickler, very dark green skin, blocky to slightly tapered on blossom end, white spined, L/D 2.7-2.9, small seedcell, excellent interior quality, machine and hand harvest, 50-52 day maturity, high yields, excellent for brining, resistant to bleaching in sunlight.|||anthracnose, angular leaf spot, downy mildew, powdery mildew, scab, cucumber mosaic virus.|
Shogoin|H. Munger, Cornell University.|Nat. Seed Storage Lab.|monoecious inbred.||||
Siberian (Early Siberian, Extra Early Siberian, New Siberian)|Northrup King.|Northrup King.|monoecious open pollinated slicer, fruit straight, light green, 5-5.25 x 1.88-2' fruit. 1889.||||
Sieger||Nat. Seed Storage Lab.|monoecious inbred.||||
